aminoglutethimide	CYP19A1#P|CYP11A1#P	PNKP#P|XIST#P|RPS4Y1#P|MYLK#P
miglustat	UGCG#P	SIRT3#P
irbesartan	AGTR1#P	SIRT3#P
alprostadil	PTGER2#P|PTGER1#P	SNAP25#P|SIRT3#P
perindopril	ACE#P	MYLK#P
cevimeline	CHRM3#P|CHRM1#P	SNAP25#P|MYLK#P|SIRT3#P|CD40#P
fingolimod	S1PR5#P	SPP1#P
letrozole	CYP19A1#P	SNAP25#P|MAL#P
phenprocoumon	VKORC1#P	SPP1#P|PAK1#P|MYLK#P
nefazodone	HTR2A#P|HTR2C#P|SLC6A4#P|HTR1A#P|SLC6A2#P	PAN2#P
flutamide	AR#P	PTGS2#P|MAL#P|RBM34#P
ketotifen	HRH1#P	PNKP#P|SIRT3#P
